variant,winner_model,feature,importance_mean_nonneg,ablation_delta_auc_mean,importance_score,ablation_score,stability_score,FRS,contradiction_abs,contradiction_signed,feature_class,contradiction_class,complete_case_flag
FULL,LR_L1,pct_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,pdw_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,plt_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,rbc_przyjecie,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,trijglicerydy_tg,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,wzrost_cm,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,zaburzenia_homeostazy_glukozy_6,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,zapalenie_miesnia_serca,0.0,,0.0,,0.4862354121992099,0.243117706099605,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,ldl,0.0,,0.0,,0.4630997749174763,0.2315498874587381,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,il_6_pg_ml,0.0,,0.0,,0.4623275527526001,0.2311637763763,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,cholesterol_calkowity_tc,0.0,,0.0,,0.4612979231994318,0.2306489615997159,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,non_hdl_calkowity_hdl,0.0,,0.0,,0.4612979231994318,0.2306489615997159,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,wyniki_klotho_pg_ml,0.0,,0.0,,0.4612979231994318,0.2306489615997159,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,zaburzenia_rytmu,0.0,,0.0,,0.3068795188877193,0.1534397594438596,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,waga_kg,0.0,,0.0,,0.1068906189384217,0.0534453094692108,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,wiek_w_momencie_zbiorki,0.0,,0.0,,0.0,0.0,,,UNRESOLVED,UNRESOLVED,0
